estaçao;address;latitude;longitude
jabaquara;Term. Jabaquara  São Paulo  Brazil;-23,647066;-46,63954
conceicao;Conceição  Vila Guarani  Sao Paulo - São Paulo  Brazil;-23,636214;-46,641141
sao-judas;São Judas  São Paulo  Brazil;-23,6244547;-46,6379525
saude;Saúde  Sao Paulo - São Paulo  Brazil;-23,617243;-46,6343336
praca-arvore;Praça Da Árvore  São Paulo  Brazil;-23,61069;-46,637852
santa-cruz;Santa Cruz  São Paulo  Brazil;23,599225;-46,636659
vila-mariana;Vila Mariana  São Paulo  Brazil;-23,5870563;-46,6357437
ana-rosa;Ana Rosa  São Paulo  Brazil;-23,581376;-46,638388
paraiso;Estação Paraíso  São Paulo  Brazil;-23,575922;-46,64141
vergueiro;Vergueiro  São Paulo  Brazil;-23,568994;-46,639858
sao-joaquim;São Joaquim  São Paulo  Brazil;-23,5618725;-46,6408663
liberdade;Estação Liberdade do Metro  São Paulo  Brazil;-23,5555348;-46,6359564
se;Praça da Sé  Centro  Sao Paulo - São Paulo  Brazil;-23,5492908;-46,6334714
sao-bento;São Bento  São Paulo  Brazil;-23,5443802;-46,6341235
luz;Estação Luz do Metrô - Avenida Cásper Líbero  Luz  Sao Paulo - São Paulo  Brazil;-23,538548;-46,6360091
tiradentes;Tiradentes  Luz  Sao Paulo - São Paulo  Brazil; -23,530857;-46,631959
armenia;Armênia  Luz  Sao Paulo - São Paulo  Brazil;-23,5254296;-46,6261104
portuguesa-tiete;Portuguesa-tietê  Santana  Sao Paulo - São Paulo  Brazil;-23,516587;-46,625123
carandiru;Carandiru  Santana  Sao Paulo - São Paulo  Brazil;-23,509654;-46,62491
santana;Estação Santana - Rua Doutor César  Santana  Sao Paulo - São Paulo  Brazil;-23,502588;-46,6269405
jardim-sao-paulo;Jardim São Paulo-ayrton Senna  Jardim São Paulo  Sao Paulo - São Paulo  Brazil;-23,492233;-46,616687
parada-inglesa;Parada Inglesa  Sao Paulo - São Paulo  Brazil;-23,4877778;-46,6080556
tucuruvi;Tucuruvi  Vila Gustavo  Sao Paulo - São Paulo  Brazil;-23,480048;-46,603211
vila-prudente;Vila Prudente  Sao Paulo - São Paulo  Brazil;-23,5797895;-46,5812872
tamanduatei;Tamanduatei  Vila Independência  Sao Paulo - São Paulo  Brazil;-23,592985;-46,589293
sacoma;Estação Sacomâ de Metrô - Rua Greenfeld  Sacomã  Sao Paulo - São Paulo  Brazil;-23,6012939;-46,6022211
alto-ipiranga;Alto Do Ipiranga  Vila Dom Pedro I  Sao Paulo - São Paulo  Brazil;-23,602126;-46,612638
santos-imigrantes;Santos-imigrantes  Vila Firmiano Pinto  Sao Paulo - São Paulo  Brazil;-23,595716;-46,620723
chacara-klabin;Chácara Klabin  Jardim Vila Mariana  Sao Paulo - São Paulo  Brazil;-23,592527;-46,630193
brigadeiro;Estação Brigadeiro de Metro  São Paulo  Brazil;-23,568277;-46,648152
trianon-masp;Trianon-masp  São Paulo  Brazil;-23,562506;-46,655163
consolacao;Consolação  Consolacao  Sao Paulo - São Paulo  Brazil;-23,556094;-46,662443
clinicas;Estação das Clinicas  São Paulo  Brazil;-23,55419;-46,670723
sumare;Metro Sumare  São Paulo  Brazil;-23,5506341;-46,6782604
